Index;Postal Code;Place Name;State;State Abbreviation;County;Region;Phone Area Code
1;00210;Portsmouth;New Hampshire;NH;Rockingham;Northeast;603
2;00211;Portsmouth;New Hampshire;NH;Rockingham;Northeast;603
3;00212;Portsmouth;New Hampshire;NH;Rockingham;Northeast;603
4;00213;Portsmouth;New Hampshire;NH;Rockingham;Northeast;603
5;00214;Portsmouth;New Hampshire;NH;Rockingham;Northeast;603
6;00215;Portsmouth;New Hampshire;NH;Rockingham;Northeast;603
7;00401;Pleasantville;New York;NY;Pleasantville;Northeast;212
8;00501;Holtsville;New York;NY;Suffolk;Northeast;212
9;00544;Holtsville;New York;NY;Suffolk;Northeast;212
10;01001;Agawam;Massachusetts;MA;Hampden;Northeast;339
11;01002;Amherst;Massachusetts;MA;Hampshire;Northeast;339
12;01003;Amherst;Massachusetts;MA;Hampshire;Northeast;339
13;01004;Amherst;Massachusetts;MA;Hampshire;Northeast;339
14;01005;Barre;Massachusetts;MA;Worcester;Northeast;339
15;01007;Belchertown;Massachusetts;MA;Hampshire;Northeast;339
16;01008;Blandford;Massachusetts;MA;Hampden;Northeast;339
17;01009;Bondsville;Massachusetts;MA;Hampden;Northeast;339
18;01010;Brimfield;Massachusetts;MA;Hampden;Northeast;339
19;01011;Chester;Massachusetts;MA;Hampden;Northeast;339
20;01012;Chesterfield;Massachusetts;MA;Hampshire;Northeast;339
21;01013;Chicopee;Massachusetts;MA;Hampden;Northeast;339
22;01014;Chicopee;Massachusetts;MA;Hampden;Northeast;339
23;01020;Chicopee;Massachusetts;MA;Hampden;Northeast;339
24;01021;Chicopee;Massachusetts;MA;Hampden;Northeast;339
25;01022;Chicopee;Massachusetts;MA;Hampden;Northeast;339
26;01026;Cummington;Massachusetts;MA;Hampshire;Northeast;339
27;01027;Easthampton;Massachusetts;MA;Hampshire;Northeast;339
28;01028;East Longmeadow;Massachusetts;MA;Hampden;Northeast;339
29;01029;East Otis;Massachusetts;MA;Berkshire;Northeast;339
30;01030;Feeding Hills;Massachusetts;MA;Hampden;Northeast;339
31;01031;Gilbertville;Massachusetts;MA;Worcester;Northeast;339
32;01032;Goshen;Massachusetts;MA;Hampshire;Northeast;339
33;01033;Granby;Massachusetts;MA;Hampshire;Northeast;339
34;01034;Granville;Massachusetts;MA;Hampden;Northeast;339
35;01035;Hadley;Massachusetts;MA;Hampshire;Northeast;339
36;01036;Hampden;Massachusetts;MA;Hampden;Northeast;339
37;01037;Hardwick;Massachusetts;MA;Worcester;Northeast;339
38;01038;Hatfield;Massachusetts;MA;Hampshire;Northeast;339
39;01039;Haydenville;Massachusetts;MA;Hampshire;Northeast;339
40;01040;Holyoke;Massachusetts;MA;Hampden;Northeast;339
